Stock,Date,EPS Reported,EPS Surprise,Beat Estimate,EPS Estimate,Net Profit Margin,Return On Assets,Current EPS Growth,Fiscal Year EPS Growth,Cash Flow Accruals,Balance Sheet Accruals,Quick Ratio,Price Earnings Ratio,Debt Equity Ratio,Return On Equity,Current Ratio,Price To Sales Ratio,Price To Book Ratio,Dividend Yield,Dividend Payout Ratio,Asset Turnover,Inventory Turnover,Cash Ratio,Gross Profit Growth,EPS Growth,Free Cash Flow Growth,Receivables Growth,Asset Growth,Debt Growth,R&D Growth
MLHR,2019-09-18,0.84,+7.69,1,0.78,0.0686,0.02931243229465367,0.5,0.2736,-0.025361626202765563,0.029454211493046445,0.94216543375925,13.375,0.392,0.2232,1.482,0.8334,1.8665,0.021312384099098,0.28411214953271,1.6358886127573,14.8136,0.35687065680341,0.0872,0.4444,0.7403,0.1505,0.0607,0.0251,0.0973
ADBE,2019-09-17,2.05,+4.06,1,1.97,0.2305,0.03216698500943943,-0.0301,0.5385,-0.024241696633499118,0.1271047246299405,1.0565930874845,47.517,0.4406,0.2767,1.129,13.5623,20.0199,-0.0,-0.0,0.48112105048186,0.0,0.38194068250965,0.2209,-0.037,0.0352,0.184,0.2969,1.2057,0.2722
APOG,2019-09-17,0.72,+12.5,1,0.64,0.0435,0.013639346463070075,0.0741,-0.4094,0.02224353692109175,0.021931721205766308,1.2179709202152,21.9512,0.4951,0.0921,1.635,0.6975,1.3298,0.017927466411429,0.3909484833895,1.3131239655185,17.6153,0.12852508878653,0.0029,0.0545,-2.3074,0.2023,0.0936,0.5905,0.0
CBRL,2019-09-17,2.7,+8.87,1,2.48,0.0682,0.03160613640780655,0.0296,0.2294,-0.007089970973060743,0.0017751632589413232,0.36792377797098,14.1203,0.6875,0.4256,0.841,1.1531,2.288,0.060665664962895,0.83658428236814,1.9841130581954,19.3874,0.31445426595981,0.0374,0.0345,-0.1773,0.1911,0.017,0.0,0.0
FDX,2019-09-17,3.05,-3.17,-1,3.15,0.0437,0.010883538830129142,-0.0839,-0.8791,0.0026295798515748262,0.01942229675920287,1.2687229557306,74.8932,1.02,0.0304,1.452,0.5768,0.846,0.016989436466668,1.2648148148148,1.2810506773524,129.3006,0.25729501830689,-0.0075,-0.0921,-0.7845,0.0684,0.3189,0.8738,0.0
STLD,2019-09-17,0.87,-2.25,-1,0.89,0.0701,0.024726918619877997,-0.4314,0.5923,-0.021274221122806893,0.05823297075854291,2.0613116784103,5.5836,0.604,0.3198,3.957,0.5833,0.9833,0.024205231229543,0.13423062527267,1.5345936678911,6.9982,0.81266797300069,-0.3541,-0.4286,0.0204,-0.0909,0.0471,0.0243,0.0
CODA,2019-09-16,0.17,-15,-1,0.2,0.2663,0.05325371419409764,-0.1053,0.3611,-0.0029960194529081757,0.08857635831826105,4.2737609492255,12.408,0.083,0.2046,5.591,3.5142,2.527,-0.0,-0.0,0.62705476995878,4.8209,2.31778245847,0.0843,-0.1053,12.0374,0.336,0.285,-0.5534,0.191
CSBR,2019-09-16,-0.05,-225,-1,0.04,-0.0951,-0.04797186049992516,-2.5,1.0769,-0.027091752731627002,0.1647624463630254,0.94878504672897,908.0,0.0071,0.0572,0.987,3.8965,9.9344,-0.0,-0.0,2.4027518863737,0.0,0.40336448598131,-0.05,-2.5,-9.224,0.0324,0.5924,13.1018,0.1976
JVA,2019-09-13,0.02,+150,1,-0.04,0.0052,0.002953678738599511,0.0,1.375,0.011253565268845326,-0.014794705266490793,1.2984002135265,22.8947,0.2544,0.0426,2.749,0.2697,0.7129,-0.0,-0.0,2.3344263853625,5.741,0.41219561205102,0.089,0.0,-1.0808,-0.0137,-0.0118,-0.2098,0.0
AVGO,2019-09-12,5.16,+0.58,1,5.13,0.1296,0.01024839823985552,-0.369,6.0746,-0.024424154686313013,-0.041074400719328115,3.2579127459367,7.5039,0.6562,0.4599,3.895,4.3647,7.2839,0.033225390710591,0.24455502080104,0.41592849732663,16.2178,1.8357570573139,0.1585,-0.3525,0.1232,0.1757,0.385,1.1339,0.2878
KR,2019-09-12,0.44,+7.32,1,0.41,0.0207,0.01741916559489158,-0.5992,0.799,-0.03375527426160337,0.012228639713204542,0.14137592826117,7.4,1.9311,0.3944,0.757,0.1851,0.6644,0.019385916278216,0.14051446945338,3.1786032845375,18.1123,0.030054644808743,-0.0042,-0.5983,-0.1509,-0.0145,0.2122,0.4384,0.0
DLTH,2019-09-12,0.06,-40,-1,0.1,0.0159,0.004459853257927412,-0.7,0.0,-0.007210403252744215,0.13927859770412052,0.14681340404098,32.3056,0.4263,0.1444,2.247,1.3339,2.5385,-0.0,-0.0,1.9237804981291,6.0684,0.058637927429625,0.0412,-0.7,0.8668,15.6597,0.6052,1.7355,0.0
TLRD,2019-09-11,0.82,+10.81,1,0.74,0.0434,0.01281116597088718,-0.299,-0.159,0.004762032947271056,-0.04697489428587508,0.23859114919374,7.5689,320.81,22.9248,1.912,0.1954,0.4017,0.059850283173711,0.44384911100432,1.7796867876231,3.8516,0.10291777680818,-0.0954,-0.3131,-0.9356,0.0012,0.4625,0.73,0.0
OXM,2019-09-11,1.84,-1.08,-1,1.86,0.0988,0.029534921015171342,0.0932,0.0129,-0.04307984406955496,0.019137539018844657,0.54401620150623,19.6045,0.0272,0.1386,1.897,1.1915,2.6823,0.017840871715263,0.34776968215897,1.5228049622278,7.705,0.05855466250378,0.0029,0.092,0.1903,-0.1513,0.4569,12.8024,0.0
UEPS,2019-09-10,-2.45,-2962.5,-1,-0.08,-0.6335,-0.06523792001733834,-2.6842,-0.1504,-0.04840686055608944,-0.08668989223406638,0.86698191007776,8.0531,0.0771,0.1002,1.511,0.8443,0.5058,-0.0,-0.0,0.5026605647549,66.6872,0.3081940870624,-0.5722,-2.6842,-1.1911,-0.479,-0.4004,0.2538,0.0
PLAY,2019-09-10,0.9,+7.14,1,0.84,0.0939,0.014482938591642097,0.0714,0.0317,-0.017275143157554552,0.03083008496824368,0.088321944433078,16.96,1.0145,0.3022,0.373,1.5539,2.1558,0.00584198079788,0.098702450926029,0.99380609447002,46.1158,0.088321944433078,0.081,0.0581,-0.3331,0.0,0.7803,3.6785,0.0
HDS,2019-09-10,1.09,+0.93,1,1.08,0.0831,0.0283851976450799,0.1127,-0.5669,-0.004835996635828428,-0.009940357852882704,1.0321715817694,19.3394,1.6706,0.3076,2.126,1.2418,3.5823,-0.0,-0.0,1.4285376801323,8.3986,0.050938337801609,0.0177,0.1111,0.2037,0.0202,0.0326,0.1902,0.0
RH,2019-09-10,3.2,+18.52,1,2.7,0.0902,0.026701058041517577,0.2489,80.1429,0.0022815904796365536,0.16606623283999264,0.046370793059745,19.6514,-47.7293,-3.8935,0.709,1.1598,1.2939,-0.0,-0.0,1.03410416266,4.7322,0.0058463448003498,0.0992,0.2021,0.5157,0.088,0.3162,0.8311,0.0
LMNR,2019-09-09,None,+100,1,-0.02,-0.0195,-0.0023815881584549987,-1.12,1.9762,-0.0029974331772069985,0.10824730065625945,0.54387973701706,19.5635,0.3664,0.0924,1.147,3.3661,1.0172,0.010553842166739,0.1993758668516,0.30709713556068,0.0,0.022493905592081,-0.5261,-1.1176,-6.3275,0.6099,0.0092,0.5209,0.0
LMNR,2019-09-09,None,+100,1,-0.02,-0.0195,-0.0023815881584549987,-1.12,1.9762,-0.0029974331772069985,0.10824730065625945,0.54387973701706,19.5635,0.3664,0.0924,1.147,3.3661,1.0172,0.010553842166739,0.1993758668516,0.30709713556068,0.0,0.022493905592081,-0.5261,-1.1176,-6.3275,0.6099,0.0092,0.5209,0.0
